,hotel,rating,kind_rat,reviews,reviews_clean,price,price_clean
158,Al Muhaidb Al Malaz - Al Jamiah,7.5,Good,753 reviews,753,SAR 245,245
159,Al Muhaidb Gharnata - Al Malaz,7.5,Good,691 reviews,691,SAR 260,260
160,Comfort Inn AL TAAWON FAMILY ONLY,5.6,Review score,514 reviews,514,SAR 257,257
161,Al Muhaidb Jarir - Al Malaz,7.5,Good,470 reviews,470,SAR 340,340
162,Golden Dune Hotel & Suite,8.1,Very Good,"3,248 reviews",3248,SAR 359,359
163,Al Muhaidb Al Malaz - Al Farazdaq Road,7.0,Good,755 reviews,755,SAR 290,290
164,Rest Night Hotel Apartment,7.6,Good,"2,864 reviews",2864,SAR 340.66,340.66
165,Accor Palace Hotel,7.3,Good,302 reviews,302,SAR 380,380
166,Aber Al Munsiyah,7.8,Good,"1,217 reviews",1217,SAR 500,500
167,Nelover Qurtubah Hotel,8.5,Very Good,867 reviews,867,SAR 593,593
168,towlan qurtaba,7.4,Good,162 reviews,162,SAR 499,499
169,اجنحه وارف,6.3,Review score,47 reviews,47,SAR 249,249
170,Dana Hotel & Residences,8.8,Excellent,753 reviews,753,SAR 550,550
171,Al Janaderia Suites 7,7.1,Good,842 reviews,842,SAR 405,405
172,Boudl Al Olaya,8.0,Very Good,614 reviews,614,SAR 575,575
173,Ewaa Express Hotel-Al Olaya,6.8,Review score,"1,168 reviews",1168,SAR 350,350
174,Neyaara Hotel - Al Takhassusi,7.2,Good,396 reviews,396,SAR 250,250
175,El Tawfiq Furnished Suites Malaz,6.9,Review score,165 reviews,165,SAR 212,212
176,Rokn Alyaqut Furnished Apartments,5.2,Review score,170 reviews,170,SAR 167,167
177,Sama Al Qasr Al Muhammadiah,7.3,Good,368 reviews,368,SAR 250,250
178,Boudl Al Sahafa,8.2,Very Good,"1,009 reviews",1009,SAR 590,590
179,Executives Hotel - Azizia,8.1,Very Good,"2,796 reviews",2796,SAR 312.83,312.83
180,Al Muhaidb Al Narges,7.2,Good,949 reviews,949,SAR 300,300
181,ال متعب سويتس الفلاح,7.7,Good,79 reviews,79,SAR 271,271
182,Nasima Hotel Apartements,8.2,Very Good,387 reviews,387,SAR 450,450
183,دانة القادسية للوحدات السكنية المفروشة,7.8,Good,232 reviews,232,SAR 255,255
184,Millennia Olaya Hotel فندق ميلينيا العليا,7.3,Good,366 reviews,366,SAR 555,555
185,مرسال سويت,5.4,Review score,360 reviews,360,SAR 249,249
186,Rayatna for Furnished Apartments 2,7.1,Good,276 reviews,276,SAR 220,220
187,Al Farhan Hotel Suites - Al Salam,6.6,Review score,"1,057 reviews",1057,SAR 269,269
188,Four Seasons Hotel Riyadh,8.6,Excellent,"1,490 reviews",1490,"SAR 1,804",1804
189,By Quiet Rooms ركن العمر للوحدات السكنية,6.2,Review score,234 reviews,234,SAR 366,366
